Country_Region,Population_Size,Tourism,Date_FirstFatality,Date_FirstConfirmedCase,Mean_Age,Confirmed,Deaths,Mortality Ratio,Latitude,Longitude
Togo,7889094,573000,2020-03-28T00:00:00.000Z,2020-03-07T00:00:00.000Z,18.9,1701.0,41.0,2.41,8.619543,0.824782
Trinidad and Tobago,1389858,375000,2020-03-26T00:00:00.000Z,2020-03-15T00:00:00.000Z,33.9,4136.0,67.0,1.62,10.691803,-61.222503
Tunisia,11565204,8299000,2020-03-20T00:00:00.000Z,2020-03-05T00:00:00.000Z,31.1,12479.0,174.0,1.39,33.886917,9.537499
Turkey,82319724,45768000,2020-03-18T00:00:00.000Z,2020-03-12T00:00:00.000Z,29.9,308069.0,7711.0,2.5,38.963745,35.243322
United States,326687501,79745920,2020-03-10T00:00:00.000Z,2020-03-10T00:00:00.000Z,37.6,6933548.0,201884.0,2.91,37.09024,-95.712891
Uganda,42723139,14000,2019-12-31T00:00:00.000ZT00:00:00.000Z,2020-03-22T00:00:00.000Z,15.8,6879.0,69.0,1.0,1.373333,32.290275
Ukraine,44622516,14104000,2020-03-14T00:00:00.000Z,2020-03-04T00:00:00.000Z,40.3,189488.0,3784.0,2.0,48.379433,31.16558
United Arab Emirates,9630959,21286000,2020-03-21T00:00:00.000Z,2020-01-30T00:00:00.000Z,33.4,87530.0,406.0,0.46,23.424076,53.847818
Uruguay,3449299,3469000,2020-03-30T00:00:00.000Z,2020-03-15T00:00:00.000Z,34.9,1946.0,47.0,2.42,-32.522779,-55.765835
Uzbekistan,32955400,5346000,2020-03-28T00:00:00.000Z,2020-03-16T00:00:00.000Z,26.3,53275.0,444.0,0.83,41.377491,64.585262
Venezuela,28870000,14000,2020-03-28T00:00:00.000Z,2020-03-15T00:00:00.000Z,37.0,69439.0,574.0,0.83,6.42375,-66.58973
Vietnam,95540395,15498000,2019-12-31T00:00:00.000ZT00:00:00.000Z,2020-01-24T00:00:00.000Z,37.0,1069.0,35.0,3.27,14.058324,108.277199
Western Sahara,500000,14000,2019-12-31T00:00:00.000ZT00:00:00.000Z,2020-04-06T00:00:00.000Z,26.8,10.0,1.0,10.0,24.215527,-12.885834
Zambia,17351822,1072000,2020-04-03T00:00:00.000Z,2020-03-19T00:00:00.000Z,17.1,14443.0,332.0,2.3,-13.133897,27.849332
Zimbabwe,14439018,2580000,2020-03-24T00:00:00.000Z,2020-03-21T00:00:00.000Z,19.0,7725.0,227.0,2.94,-19.015438,29.154857
